timestamps,x_values,y_values,eye_tracker,ivt,idt
0.14,305,1074,outlier,saccade,saccade
0.15,296,1071,outlier,fixation,saccade
0.16,299,1073,outlier,fixation,saccade
0.17,301,1076,outlier,fixation,saccade
0.18,378,1080,outlier,saccade,saccade
0.18,256,1111,saccade,saccade,saccade
0.19,347,1073,saccade,saccade,saccade
0.20,352,1070,fixation,fixation,saccade
0.22,364,1067,fixation,fixation,saccade
0.23,368,1076,fixation,fixation,saccade
0.23,438,1048,fixation,saccade,saccade
0.24,374,1078,fixation,saccade,saccade
0.25,364,1072,fixation,fixation,saccade
0.26,406,1040,fixation,saccade,saccade
0.27,361,1070,fixation,saccade,saccade
0.28,367,1072,fixation,fixation,saccade
0.28,423,1040,fixation,saccade,saccade
0.29,363,1075,fixation,saccade,saccade
0.30,358,1078,fixation,fixation,saccade
0.31,415,1045,fixation,saccade,saccade
0.32,372,1084,fixation,saccade,saccade
0.33,447,1063,saccade,saccade,saccade
0.34,460,1077,saccade,fixation,fixation
0.35,457,1081,outlier,fixation,fixation
0.36,474,1092,outlier,fixation,fixation
0.37,479,1085,outlier,fixation,fixation
0.38,480,1082,outlier,fixation,fixation
0.39,470,1085,outlier,fixation,fixation
0.40,470,1079,outlier,fixation,fixation
0.42,446,1068,outlier,fixation,fixation
0.43,449,1077,outlier,fixation,fixation
0.44,473,1081,outlier,fixation,fixation
0.45,468,1076,outlier,fixation,fixation
0.47,452,1081,outlier,fixation,fixation
0.48,455,1080,outlier,fixation,fixation
0.49,472,1075,outlier,fixation,fixation
0.50,473,1073,outlier,fixation,fixation
0.52,473,1080,outlier,fixation,fixation
0.53,473,1078,outlier,fixation,fixation
0.54,484,1068,outlier,fixation,fixation
0.55,488,1075,outlier,fixation,fixation
0.57,479,1078,outlier,fixation,fixation
0.58,467,1081,outlier,fixation,fixation
0.59,472,1084,outlier,fixation,fixation
0.60,472,1081,outlier,fixation,fixation
0.62,457,1075,outlier,fixation,fixation
0.63,461,1082,outlier,fixation,fixation
0.64,474,1088,outlier,fixation,fixation
0.65,428,1107,outlier,saccade,fixation
0.67,480,1074,outlier,fixation,fixation
0.68,485,1080,outlier,fixation,fixation
0.69,462,1078,outlier,fixation,fixation
0.70,459,1076,outlier,fixation,fixation
0.72,481,1077,outlier,fixation,fixation
0.73,490,1064,saccade,fixation,fixation
0.73,545,1016,saccade,saccade,saccade
0.74,571,978,saccade,saccade,saccade
0.75,679,872,saccade,saccade,saccade
0.76,760,864,saccade,saccade,saccade
0.77,823,818,saccade,saccade,saccade
0.78,855,747,saccade,saccade,saccade
0.78,863,746,saccade,fixation,fixation
0.79,864,748,fixation,fixation,fixation
0.80,860,752,fixation,fixation,fixation
0.81,862,742,fixation,fixation,fixation
0.82,858,742,fixation,fixation,fixation
0.83,861,740,fixation,fixation,fixation
0.83,860,749,fixation,fixation,fixation
0.84,856,747,fixation,fixation,fixation
0.85,856,749,fixation,fixation,fixation
0.86,857,751,fixation,fixation,fixation
0.87,857,747,fixation,fixation,fixation
0.88,859,742,fixation,fixation,fixation
0.88,864,746,fixation,fixation,fixation
0.89,859,737,fixation,fixation,fixation
0.90,869,751,fixation,fixation,fixation
0.91,859,736,fixation,fixation,fixation
0.92,857,737,fixation,fixation,fixation
0.93,856,738,fixation,fixation,fixation
0.93,864,746,fixation,fixation,fixation
0.94,866,745,fixation,fixation,fixation
0.95,864,746,fixation,fixation,fixation
0.96,866,744,fixation,fixation,fixation
0.97,863,748,fixation,fixation,fixation
0.98,861,743,fixation,fixation,fixation
0.98,863,738,fixation,fixation,fixation
0.99,862,737,fixation,fixation,fixation
1.00,865,734,fixation,fixation,fixation
1.01,863,731,fixation,fixation,fixation
1.02,865,731,fixation,fixation,fixation
1.03,861,737,fixation,fixation,fixation
1.03,858,738,fixation,fixation,fixation
1.04,861,743,fixation,fixation,fixation
1.05,867,736,fixation,fixation,fixation
1.06,863,743,fixation,fixation,fixation
1.07,870,736,fixation,fixation,fixation
1.08,867,740,fixation,fixation,fixation
1.08,855,726,fixation,fixation,fixation
1.09,874,721,fixation,fixation,fixation
1.10,851,637,saccade,saccade,saccade
1.11,873,614,saccade,fixation,saccade
1.12,854,543,saccade,saccade,saccade
1.13,853,526,saccade,fixation,fixation
1.13,852,528,fixation,fixation,fixation
1.14,845,524,fixation,fixation,fixation
1.15,845,526,fixation,fixation,fixation
1.16,848,531,fixation,fixation,fixation
1.17,854,536,fixation,fixation,fixation
1.18,851,535,fixation,fixation,fixation
1.18,848,528,fixation,fixation,fixation
1.19,850,529,fixation,fixation,fixation
1.20,849,519,fixation,fixation,fixation
1.21,849,514,fixation,fixation,fixation
1.22,848,515,fixation,fixation,fixation
1.23,856,530,fixation,fixation,fixation
1.23,856,536,fixation,fixation,fixation
1.24,853,534,fixation,fixation,fixation
1.25,848,533,fixation,fixation,fixation
1.26,847,524,fixation,fixation,fixation
1.27,855,545,fixation,fixation,fixation
1.28,858,536,fixation,fixation,fixation
1.28,855,527,fixation,fixation,fixation
1.29,855,523,fixation,fixation,fixation
1.30,854,523,fixation,fixation,fixation
1.31,860,522,fixation,fixation,fixation
1.32,857,520,fixation,fixation,fixation
1.33,847,524,fixation,fixation,fixation
1.33,848,531,fixation,fixation,fixation
1.34,848,529,fixation,fixation,fixation
1.35,850,525,fixation,fixation,fixation
1.36,851,527,fixation,fixation,fixation
1.37,857,544,fixation,fixation,fixation
1.49,947,473,fixation,fixation,saccade
1.50,955,466,fixation,fixation,fixation
1.51,957,505,fixation,saccade,fixation
1.52,992,428,fixation,saccade,fixation
1.53,982,433,fixation,fixation,fixation
1.53,984,430,fixation,fixation,fixation
1.54,982,441,fixation,fixation,fixation
1.55,978,449,fixation,fixation,fixation
1.56,978,450,fixation,fixation,fixation
1.57,978,445,fixation,fixation,fixation
1.58,982,431,fixation,fixation,fixation
1.58,964,468,fixation,saccade,fixation
1.59,1000,421,fixation,saccade,fixation
1.62,983,423,fixation,fixation,fixation
1.64,984,434,fixation,fixation,fixation
1.67,993,408,outlier,fixation,fixation
1.69,991,402,outlier,fixation,fixation
1.72,976,422,outlier,fixation,fixation
1.74,979,431,outlier,fixation,fixation
1.77,920,419,saccade,saccade,fixation
1.78,893,412,saccade,fixation,fixation
1.78,894,412,saccade,fixation,fixation
1.79,892,408,fixation,fixation,fixation
1.80,893,403,fixation,fixation,fixation
1.81,892,404,fixation,fixation,fixation
1.82,895,411,fixation,fixation,fixation
1.84,896,401,fixation,fixation,fixation
1.85,898,397,fixation,fixation,fixation
1.86,899,397,fixation,fixation,fixation
1.87,896,388,fixation,fixation,saccade
1.88,891,400,fixation,fixation,fixation
1.88,892,400,fixation,fixation,fixation
1.89,893,409,fixation,fixation,fixation
1.90,891,414,fixation,fixation,fixation
1.91,891,428,saccade,fixation,fixation
1.92,892,431,fixation,fixation,fixation
1.93,893,407,fixation,fixation,fixation
1.93,894,407,fixation,fixation,fixation
1.94,893,405,fixation,fixation,fixation
1.95,884,420,fixation,fixation,fixation
1.96,884,422,fixation,fixation,fixation
1.97,886,423,fixation,fixation,fixation
1.99,885,419,fixation,fixation,fixation
2.00,900,406,saccade,fixation,fixation
2.01,897,398,saccade,fixation,fixation
2.02,893,393,fixation,fixation,fixation
2.03,883,400,fixation,fixation,fixation
2.03,882,399,fixation,fixation,fixation
2.04,874,385,fixation,fixation,fixation
2.05,874,386,fixation,fixation,fixation
2.06,873,384,fixation,fixation,fixation
2.07,879,391,fixation,fixation,fixation
2.08,885,386,fixation,fixation,fixation
2.08,885,390,fixation,fixation,fixation
2.09,880,394,fixation,fixation,fixation
2.10,882,392,fixation,fixation,fixation
2.11,911,333,fixation,saccade,fixation
2.12,887,398,fixation,saccade,fixation
2.13,886,406,fixation,fixation,fixation
2.13,882,399,fixation,fixation,fixation
2.14,879,385,fixation,fixation,fixation
2.15,875,364,fixation,fixation,fixation
2.16,874,379,fixation,fixation,fixation
2.17,858,383,fixation,fixation,fixation
2.18,845,386,saccade,fixation,fixation
2.18,835,372,saccade,fixation,fixation
2.19,833,370,fixation,fixation,fixation
2.20,828,382,fixation,fixation,fixation
2.21,832,390,fixation,fixation,fixation
2.22,825,373,fixation,fixation,fixation
2.23,835,365,fixation,fixation,fixation
2.23,829,361,fixation,fixation,fixation
2.24,826,353,fixation,fixation,fixation
2.25,824,362,fixation,fixation,fixation
2.26,827,363,fixation,fixation,fixation
2.27,837,371,fixation,fixation,fixation
2.28,834,381,fixation,fixation,fixation
2.28,833,370,fixation,fixation,fixation
2.29,830,373,fixation,fixation,fixation
2.30,861,387,fixation,fixation,fixation
2.31,840,365,fixation,fixation,fixation
2.32,839,364,fixation,fixation,fixation
2.34,826,371,fixation,fixation,fixation
2.35,828,373,fixation,fixation,fixation
2.36,829,371,fixation,fixation,fixation
2.37,831,376,fixation,fixation,fixation
2.38,832,369,fixation,fixation,fixation
2.38,833,370,fixation,fixation,fixation
2.39,826,360,fixation,fixation,fixation
2.40,820,374,fixation,fixation,saccade
2.41,828,387,fixation,fixation,saccade
2.42,824,370,fixation,fixation,saccade
2.43,840,362,fixation,fixation,saccade
2.43,830,339,fixation,fixation,saccade
2.44,852,386,fixation,saccade,saccade
2.45,839,382,fixation,fixation,saccade
2.46,838,380,fixation,fixation,saccade
2.47,830,374,fixation,fixation,saccade
2.48,833,367,fixation,fixation,saccade
2.48,843,362,fixation,fixation,saccade
2.49,881,340,saccade,saccade,saccade
2.50,910,344,saccade,fixation,saccade
2.51,915,346,saccade,fixation,fixation
2.52,910,357,fixation,fixation,fixation
2.53,911,351,fixation,fixation,fixation
2.53,911,345,fixation,fixation,fixation
2.54,912,338,fixation,fixation,fixation
2.55,909,363,fixation,fixation,fixation
2.58,915,356,fixation,fixation,fixation
2.58,911,352,fixation,fixation,fixation
2.59,907,363,fixation,fixation,fixation
2.60,912,356,fixation,fixation,fixation
2.61,913,352,fixation,fixation,fixation
2.62,911,351,fixation,fixation,fixation
2.63,905,356,fixation,fixation,fixation
2.63,904,354,fixation,fixation,fixation
2.64,905,354,fixation,fixation,fixation
2.65,912,349,fixation,fixation,fixation
2.66,915,351,fixation,fixation,fixation
2.67,909,366,fixation,fixation,fixation
2.68,911,362,fixation,fixation,fixation
2.68,913,368,fixation,fixation,fixation
2.69,906,356,fixation,fixation,fixation
2.70,906,352,fixation,fixation,fixation
2.71,905,345,fixation,fixation,fixation
2.72,906,352,fixation,fixation,fixation
2.73,909,345,fixation,fixation,fixation
2.73,910,354,fixation,fixation,fixation
2.74,913,354,fixation,fixation,fixation
2.75,916,356,fixation,fixation,fixation
2.76,922,352,fixation,fixation,fixation
2.77,917,320,fixation,fixation,fixation
2.78,912,327,fixation,fixation,fixation
2.78,912,342,fixation,fixation,fixation
2.79,911,344,fixation,fixation,fixation
2.80,913,340,fixation,fixation,fixation
2.81,910,341,fixation,fixation,fixation
2.82,912,347,fixation,fixation,fixation
2.83,904,359,fixation,fixation,fixation
2.83,906,360,fixation,fixation,fixation
2.84,905,360,fixation,fixation,fixation
2.85,914,338,fixation,fixation,fixation
2.86,906,351,fixation,fixation,fixation
2.87,910,349,fixation,fixation,fixation
2.88,913,351,fixation,fixation,fixation
2.88,921,344,fixation,fixation,fixation
2.89,921,350,fixation,fixation,fixation
2.90,912,362,fixation,fixation,fixation
2.91,910,355,fixation,fixation,fixation
2.92,908,346,fixation,fixation,fixation
2.93,916,342,fixation,fixation,fixation
2.93,917,346,fixation,fixation,fixation
2.94,920,351,fixation,fixation,fixation
2.95,913,358,fixation,fixation,fixation
2.96,911,358,fixation,fixation,fixation
2.97,909,359,fixation,fixation,fixation
2.98,913,345,fixation,fixation,fixation
2.98,915,347,fixation,fixation,fixation
2.99,916,349,fixation,fixation,fixation
3.00,913,357,fixation,fixation,fixation
3.01,913,358,fixation,fixation,fixation
3.02,914,365,fixation,fixation,fixation
3.03,912,371,fixation,fixation,fixation
3.03,912,374,fixation,fixation,fixation
3.04,909,362,fixation,fixation,fixation
3.05,912,354,fixation,fixation,fixation
3.06,911,358,fixation,fixation,fixation
3.07,916,366,fixation,fixation,fixation
3.08,915,372,fixation,fixation,fixation
3.08,914,371,fixation,fixation,fixation
3.09,916,373,fixation,fixation,fixation
3.10,917,368,fixation,fixation,fixation
3.13,914,365,fixation,fixation,fixation
3.13,914,378,fixation,fixation,fixation
3.14,915,386,saccade,fixation,fixation
3.27,786,413,saccade,fixation,saccade
3.28,878,361,saccade,saccade,fixation
3.28,867,364,saccade,fixation,fixation
3.29,885,351,fixation,fixation,fixation
3.30,876,350,fixation,fixation,fixation
3.31,876,364,fixation,fixation,fixation
3.32,874,357,fixation,fixation,fixation
3.33,873,357,fixation,fixation,fixation
3.33,870,352,fixation,fixation,fixation
3.34,869,354,fixation,fixation,fixation
3.35,862,363,fixation,fixation,fixation
3.36,865,369,fixation,fixation,fixation
3.37,868,374,fixation,fixation,fixation
3.38,874,368,fixation,fixation,fixation
3.38,895,349,fixation,fixation,fixation
3.39,874,371,fixation,fixation,fixation
3.40,876,369,fixation,fixation,fixation
3.41,875,358,fixation,fixation,fixation
3.42,871,356,fixation,fixation,fixation
3.43,864,366,fixation,fixation,fixation
3.43,864,375,fixation,fixation,fixation
3.44,871,360,fixation,fixation,fixation
3.45,868,361,fixation,fixation,fixation
3.46,871,359,fixation,fixation,fixation
3.47,874,357,fixation,fixation,fixation
3.48,875,368,fixation,fixation,fixation
3.48,874,365,fixation,fixation,fixation
3.49,871,362,fixation,fixation,fixation
3.50,868,363,fixation,fixation,fixation
3.51,872,355,fixation,fixation,fixation
3.52,872,354,fixation,fixation,fixation
3.53,884,365,fixation,fixation,fixation
3.53,934,394,saccade,saccade,fixation
3.54,1029,453,saccade,saccade,saccade
3.55,1104,509,saccade,saccade,fixation
3.56,1134,527,saccade,saccade,fixation
3.57,1130,528,saccade,fixation,fixation
3.58,1125,524,fixation,fixation,fixation
3.58,1130,536,fixation,fixation,fixation
3.59,1131,521,fixation,fixation,fixation
3.60,1135,522,fixation,fixation,fixation
3.61,1139,520,fixation,fixation,fixation
3.62,1136,526,fixation,fixation,fixation
3.63,1135,527,fixation,fixation,fixation
3.63,1133,528,fixation,fixation,fixation
3.64,1137,534,fixation,fixation,fixation
3.65,1138,533,fixation,fixation,fixation
3.66,1136,533,fixation,fixation,fixation
3.67,1128,525,fixation,fixation,fixation
3.68,1130,527,fixation,fixation,fixation
3.68,1136,533,fixation,fixation,fixation
3.69,1136,531,fixation,fixation,fixation
3.70,1135,530,fixation,fixation,fixation
3.71,1132,533,fixation,fixation,fixation
3.72,1130,529,fixation,fixation,fixation
3.73,1132,526,fixation,fixation,fixation
3.73,1134,523,fixation,fixation,fixation
3.74,1136,529,fixation,fixation,fixation
3.75,1132,527,fixation,fixation,fixation
3.76,1139,527,fixation,fixation,fixation
3.78,1128,534,fixation,fixation,fixation
3.79,1129,535,fixation,fixation,fixation
3.80,1130,531,fixation,fixation,fixation
3.81,1136,524,fixation,fixation,fixation
3.82,1136,528,fixation,fixation,fixation
3.83,1137,527,fixation,fixation,fixation
3.83,1134,531,fixation,fixation,fixation
3.84,1133,525,fixation,fixation,fixation
3.85,1135,528,fixation,fixation,fixation
3.86,1136,534,fixation,fixation,fixation
3.87,1145,527,fixation,fixation,fixation
3.88,1147,539,fixation,fixation,fixation
3.88,1154,533,fixation,fixation,fixation
3.89,1157,534,fixation,fixation,fixation
3.90,1154,533,fixation,fixation,fixation
3.91,1153,534,fixation,fixation,fixation
3.92,1151,533,fixation,fixation,fixation
3.93,1149,530,fixation,fixation,fixation
3.93,1150,532,fixation,fixation,fixation
3.94,1151,538,fixation,fixation,fixation
3.95,1153,540,fixation,fixation,fixation
3.96,1111,577,fixation,saccade,fixation
3.97,1149,541,fixation,saccade,fixation
3.98,1151,531,fixation,fixation,fixation
3.98,1143,525,fixation,fixation,fixation
3.99,1148,535,fixation,fixation,fixation
4.00,1149,537,fixation,fixation,fixation
4.01,1100,575,fixation,saccade,fixation
4.02,1150,544,fixation,saccade,fixation
4.03,1149,540,fixation,fixation,fixation
4.03,1147,539,fixation,fixation,fixation
4.04,1145,535,fixation,fixation,fixation
4.05,1142,543,fixation,fixation,fixation
4.06,1147,539,fixation,fixation,fixation
4.07,1140,535,fixation,fixation,fixation
4.08,1143,535,fixation,fixation,fixation
4.08,1130,571,fixation,saccade,fixation
4.09,1204,505,saccade,saccade,saccade
4.10,1332,462,outlier,saccade,saccade
4.11,1112,565,saccade,saccade,saccade
4.12,1492,477,saccade,saccade,saccade
4.13,1699,448,saccade,saccade,saccade
4.13,1904,386,saccade,saccade,saccade
4.14,1794,450,saccade,saccade,saccade
4.15,1801,454,saccade,fixation,saccade
4.17,1900,442,saccade,saccade,saccade
4.18,1897,444,outlier,fixation,saccade
4.18,2013,393,outlier,saccade,saccade
4.19,1902,444,outlier,saccade,fixation
4.20,1899,444,outlier,fixation,fixation
4.21,1918,445,saccade,fixation,fixation
4.22,1844,499,saccade,saccade,fixation
4.23,1865,487,outlier,fixation,fixation
4.23,1953,445,saccade,saccade,fixation
4.24,1882,467,saccade,saccade,fixation
4.25,1875,469,outlier,fixation,fixation
4.27,1869,469,outlier,fixation,fixation
4.28,1880,464,saccade,fixation,fixation
4.28,1917,461,saccade,saccade,fixation
4.29,1843,486,saccade,saccade,fixation
4.30,1840,488,outlier,fixation,fixation
4.31,1906,471,outlier,saccade,fixation
4.33,1885,455,saccade,saccade,fixation
4.34,1790,356,saccade,saccade,saccade
4.35,1774,309,saccade,saccade,saccade
4.36,1793,198,saccade,saccade,saccade
4.37,1771,104,saccade,saccade,fixation
4.38,1827,97,saccade,saccade,fixation
4.38,1774,93,outlier,saccade,fixation
4.39,1765,112,outlier,fixation,fixation
4.40,1785,148,saccade,saccade,fixation
4.41,1740,139,saccade,saccade,fixation
4.42,1738,140,fixation,fixation,fixation
4.43,1778,153,fixation,saccade,fixation
